target,model,target_mode,params,cv_r2,cv_rmse,cv_mae
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.1, 'alpha': 0.1}",0.5763859775246948,3.507707958149674,3.120402677031708
length,ExtraTrees,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",0.6824245648082795,6.478612737463398,5.295572064390456
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.9899783617394544,1.1345659038260194,1.013018004298984
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",0.6878789864900292,6.425369217995995,5.226227053007522
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 6}",0.6121601610597401,7.163980482773437,5.753745259503238
length,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 16}",0.5575839100238411,7.651705198310639,6.077709506370981
length,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': None}",0.562497851388711,7.608026113774524,6.045476301912494
length,ExtraTrees,raw,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': None}",0.5596120845646239,7.635052210158838,6.068310087536337
length,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6}",0.7633932327844862,5.5661643411917225,4.488404295882595
length,ExtraTrees,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.745329803531354,5.8040701376004735,4.826799876543207
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.7, 'max_depth': 10}",0.9648698543724222,2.1388364657824828,1.7938652412556695
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 24}",0.9811761127116103,1.5771995766790599,1.4336652397486764
length,ExtraTrees,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 16}",0.6792811361089313,6.510833134560559,5.300731545562877
length,ExtraTrees,raw,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9901162225086321,1.1263483877823415,1.0121032407407573
length,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.7, 'max_depth': None}",0.9652272985038893,2.1311423647469696,1.7910101344858949
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 1.0, 'max_depth': 10}",0.9801607204445446,1.6191747816903348,1.4657078667127683
length,ExtraTrees,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}",0.7453298035313544,5.804070137600471,4.826799876543205
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",0.9859935503286064,1.3560876060493416,1.1704526959325638
length,ExtraTrees,raw,"{'n_estimators': 1200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 24}",0.687425070451624,6.429658528580035,5.230017861441214
length,ExtraTrees,raw,"{'n_estimators': 1200, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 6}",0.9829732997471332,1.4844828535167456,1.3066338744369363
length,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 6}",0.5049258001357971,8.094585644939151,6.407874522613122
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 16}",0.6878789864900292,6.425369217995995,5.2262270530075225
length,ExtraTrees,raw,"{'n_estimators': 1200, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 10}",0.9872391245328778,1.2942808851007146,1.1257574074073893
length,ExtraTrees,raw,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None}",0.5234780459157464,7.941113711689998,6.2769895885404505
length,ExtraTrees,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 24}",0.9907234383111259,1.0895692195099858,0.9684236111111548
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 14}",0.7040084395171382,6.239941198384294,5.2159715141288725
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 1.0, 'max_depth': 8}",0.9652692622434579,2.1427576197741547,2.0121246629246317
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 8}",0.6947006850961273,6.340700190115164,5.330493939464324
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 14}",0.9815888377507911,1.5532247395063048,1.3366972313437604
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 20}",0.966175930245204,2.114288049918586,1.9931833561402947
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 14}",0.9662289313657488,2.112512401704898,1.9890345531810485
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 8}",0.9832206827723068,1.4810619143531842,1.3092110064010085
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",0.9812407252995243,1.5680573356830156,1.3532688182573573
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 1.0, 'max_depth': None}",0.9743531372226011,1.8402198488152224,1.713881196435424
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 14}",0.9870196696917922,1.3051768308128608,1.1849518518518487
length,RandomForest,raw,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",0.9814546369264295,1.5587211870071382,1.3441145623512263
length,RandomForest,raw,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 8}",0.9864888530461158,1.330359820428763,1.1600946170859179
length,RandomForest,raw,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': None}",0.7140949059720632,6.138120082987545,5.139705789790452
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",0.9837187338147011,1.4634212770813673,1.3518265260151385
length,RandomForest,raw,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.7, 'max_depth': None}",0.97086270455129,1.9528232384605335,1.6707210564398327
length,RandomForest,raw,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 8}",0.782842660385378,5.351179755670001,4.524460823159359
length,RandomForest,raw,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 20}",0.9663814771551639,2.1076609594199662,1.9858325533951244
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.7786870888393942,5.402402264137741,4.594878978579283
length,RandomForest,raw,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None}",0.6947763258827483,6.339508894140092,5.3340044152385415
length,RandomForest,raw,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",0.9142212537242995,3.362389570620082,2.8673037037037026
length,GradientBoosting,raw,"{'subsample': 0.85, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.02}",0.7267450655989997,6.010041124698509,5.047100168786615
length,GradientBoosting,log1p,"{'subsample': 0.85, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.02}",0.6894393893266066,6.410550620522775,5.163121033520443
length,GradientBoosting,raw,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.08}",0.8172447705744486,4.918683005860645,4.263287399710679
length,GradientBoosting,log1p,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.08}",0.8148284472649326,4.9373836987856325,4.094586409362154
